Regime,Basis,Mean (bps),Std (bps),Half-Life (min),ADF Stat,ADF p-value,N
Pre-SVB,basis_usdc_kraken,-0.32,5.0,1.37,-40.28,0.0000,11197
Pre-SVB,basis_usdt_kraken,-0.6,4.33,1.27,-43.26,0.0000,12618
Pre-SVB,basis_usdt_coinbase,-0.07,2.67,0.98,-39.96,0.0000,12629
Pre-SVB,basis_usdc_usdt_binance,-4.14,25.02,5.27,-26.74,0.0000,12960
Pre-SVB,xbasis_btcusdt_binance_kraken,-0.08,4.56,1.2,-44.87,0.0000,12618
Pre-SVB,xbasis_btcusdt_coinbase_kraken,-0.08,4.98,1.25,-41.81,0.0000,12308
Pre-SVB,xbasis_btcusd_coinbase_kraken,-0.33,2.42,1.0,-34.09,0.0000,12688
Pre-SVB,usdt_peg_dev_kraken,-0.05,1.34,5.63,-8.15,0.0000,12960
Pre-SVB,usdt_peg_dev_coinbase,0.21,1.23,60.47,-5.75,0.0000,12665
Pre-SVB,usdc_peg_dev_kraken,-0.45,0.52,1.45,-34.01,0.0000,12445
Crisis,basis_usdc_kraken,5.27,21.21,1.02,-20.27,0.0000,4283
Crisis,basis_usdt_kraken,0.68,6.57,1.35,-14.78,0.0000,4312
Crisis,basis_usdt_coinbase,-0.95,5.6,1.54,-13.83,0.0000,4318
Crisis,basis_usdc_usdt_binance,-0.49,46.28,1.59,-20.24,0.0000,4320
Crisis,xbasis_btcusdt_binance_kraken,-0.88,6.49,1.16,-15.57,0.0000,4312
Crisis,xbasis_btcusdt_coinbase_kraken,-0.83,7.2,1.15,-16.64,0.0000,4310
Crisis,xbasis_btcusd_coinbase_kraken,2.37,6.89,3.18,-9.42,0.0000,4320
Crisis,usdt_peg_dev_kraken,58.11,46.61,496.66,-1.85,0.3541,4320
Crisis,usdt_peg_dev_coinbase,59.68,46.08,542.49,-1.72,0.4220,4320
Crisis,usdc_peg_dev_kraken,-306.6,304.75,571.96,-1.68,0.4430,4292
Post-SVB,basis_usdc_kraken,0.45,9.06,1.19,-40.61,0.0000,12419
Post-SVB,basis_usdt_kraken,-1.23,6.47,0.98,-36.77,0.0000,12837
Post-SVB,basis_usdt_coinbase,0.28,5.32,1.14,-26.27,0.0000,12956
Post-SVB,basis_usdc_usdt_binance,-2.58,12.98,2.32,-23.7,0.0000,12959
Post-SVB,xbasis_btcusdt_binance_kraken,0.39,6.81,0.9,-44.95,0.0000,12837
Post-SVB,xbasis_btcusdt_coinbase_kraken,0.38,7.41,0.93,-66.95,0.0000,12834
Post-SVB,xbasis_btcusd_coinbase_kraken,4.59,7.45,4.21,-10.04,0.0000,12952
Post-SVB,usdt_peg_dev_kraken,29.05,12.06,188.52,-4.56,0.0002,12952
Post-SVB,usdt_peg_dev_coinbase,34.78,11.71,154.83,-4.84,0.0000,12959
Post-SVB,usdc_peg_dev_kraken,-10.68,19.25,360.82,-3.61,0.0055,12837
